property_type,state,region,city,neighborhood,price_source,base_price_m2,area_m2,bedrooms,bathrooms,floor,parking_spaces,neighborhood_score,condo_fee,age_years,distance_to_center_km,price
house,GO,Centro-Oeste,Goiânia,Zona Norte,FipeZAP,8226.0,166,3,3,0,3,5.9,770.42,23,4.81,1323751.75
apartment,AM,Norte,Manaus,Zona Leste,FipeZAP,7513.0,87,2,3,21,0,6.8,1119.74,27,7.37,659552.97
house,RS,Sul,Porto Alegre,Região Residencial,FipeZAP,7579.0,190,4,3,0,3,6.2,668.26,13,15.34,1533539.45
house,MA,Nordeste,São Luís,Zona Sul,FipeZAP,8627.0,109,3,3,0,2,8.0,759.61,28,7.68,1239300.2
apartment,MA,Nordeste,São Luís,Região Residencial,FipeZAP,8627.0,219,3,2,20,1,7.6,1218.73,40,15.55,1658755.17
apartment,MA,Nordeste,São Luís,Região Comercial,FipeZAP,8627.0,110,3,2,7,2,8.8,1508.98,27,6.86,1181941.88
apartment,PI,Nordeste,Teresina,Região Residencial,FipeZAP,5857.0,66,2,3,34,1,7.3,740.83,13,4.55,625460.18
apartment,PB,Nordeste,João Pessoa,Zona Sul,FipeZAP,8081.0,81,2,3,31,1,8.4,1555.8,35,9.56,885972.11
house,AM,Norte,Manaus,Região Periférica,FipeZAP,7513.0,193,3,3,0,2,6.6,506.95,27,15.84,1164965.15
apartment,TO,Norte,Palmas,Área Universitária,estimated_regional_proxy,5900.0,80,2,1,23,2,7.5,723.72,11,2.78,736809.28
apartment,RJ,Sudeste,Rio de Janeiro,Região Comercial,FipeZAP,10939.0,142,3,2,1,1,7.4,1590.42,1,6.71,1694252.82
house,AP,Norte,Macapá,Centro,estimated_regional_proxy,5400.0,157,3,2,0,2,7.3,572.06,15,2.28,1145278.85
apartment,BA,Nordeste,Salvador,Zona Sul,FipeZAP,8385.0,81,3,2,32,1,9.1,903.99,22,9.35,975278.15
house,AL,Nordeste,Maceió,Zona Leste,FipeZAP,9908.0,68,3,4,0,1,7.6,314.19,32,11.88,664547.84
house,RO,Norte,Porto Velho,Zona Sul,estimated_regional_proxy,5600.0,253,4,3,0,2,7.9,1186.49,13,2.18,2076164.83
apartment,PA,Norte,Belém,Zona Sul,FipeZAP,8882.0,51,2,2,29,3,9.6,913.12,20,6.34,948984.66
apartment,DF,Centro-Oeste,Brasília,Zona Sul,FipeZAP,10090.0,78,2,2,16,3,9.6,1211.9,40,5.7,1082544.55
apartment,SC,Sul,Florianópolis,Zona Leste,FipeZAP,13208.0,190,4,5,2,0,7.5,1065.37,23,20.81,2428262.46
house,TO,Norte,Palmas,Região Periférica,estimated_regional_proxy,5900.0,163,3,4,0,2,4.9,309.39,34,24.57,658436.09
apartment,MA,Nordeste,São Luís,Zona Sul,FipeZAP,8627.0,121,3,3,33,0,8.3,1534.91,21,3.55,1480993.69
