property_type,state,region,city,neighborhood,price_source,base_price_m2,area_m2,bedrooms,bathrooms,floor,parking_spaces,neighborhood_score,condo_fee,age_years,distance_to_center_km
apartment,DF,Centro-Oeste,Brasília,Zona Sul,FipeZAP,10090.0,50,2,1,7,1,7.8,701.45,34,4.35
house,MS,Centro-Oeste,Campo Grande,Região Periférica,FipeZAP,6839.0,287,5,5,0,1,6.9,667.9,4,24.18
apartment,RO,Norte,Porto Velho,Região Comercial,estimated_regional_proxy,5600.0,215,4,3,4,1,8.0,1637.08,0,1.1
house,PE,Nordeste,Recife,Zona Sul,FipeZAP,8615.0,301,4,3,0,3,9.2,1189.1,1,2.33
apartment,PA,Norte,Belém,Zona Oeste,FipeZAP,8882.0,179,3,3,30,2,6.0,1628.95,11,7.15
apartment,AL,Nordeste,Maceió,Região Residencial,FipeZAP,9908.0,126,3,2,28,1,6.1,1064.54,12,8.96
apartment,AL,Nordeste,Maceió,Região Residencial,FipeZAP,9908.0,110,4,3,0,1,8.1,799.75,2,5.87
house,RN,Nordeste,Natal,Zona Leste,FipeZAP,6334.0,247,4,3,0,3,5.9,1181.61,24,15.71
apartment,BA,Nordeste,Salvador,Zona Oeste,FipeZAP,8385.0,180,3,4,6,0,5.8,2232.49,8,13.76
apartment,RO,Norte,Porto Velho,Zona Sul,estimated_regional_proxy,5600.0,113,3,2,27,2,8.9,2009.24,25,3.11
house,MS,Centro-Oeste,Campo Grande,Centro,FipeZAP,6839.0,115,3,3,0,2,8.0,411.47,9,2.68
apartment,PE,Nordeste,Recife,Zona Leste,FipeZAP,8615.0,143,4,3,35,2,5.3,1919.24,8,9.27
apartment,MS,Centro-Oeste,Campo Grande,Região Periférica,FipeZAP,6839.0,133,4,3,4,2,4.6,998.69,24,14.05
apartment,MA,Nordeste,São Luís,Zona Leste,FipeZAP,8627.0,189,3,4,2,1,7.3,1851.28,24,6.45
apartment,PE,Nordeste,Recife,Zona Oeste,FipeZAP,8615.0,112,2,1,34,3,8.1,955.06,27,15.76
apartment,PE,Nordeste,Recife,Área Universitária,FipeZAP,8615.0,166,4,5,32,1,8.8,1818.29,9,5.09
apartment,PI,Nordeste,Teresina,Região Comercial,FipeZAP,5857.0,85,2,1,32,1,8.4,975.93,13,1.04
apartment,PI,Nordeste,Teresina,Zona Sul,FipeZAP,5857.0,46,1,1,0,2,9.5,607.47,25,5.17
apartment,CE,Nordeste,Fortaleza,Zona Oeste,FipeZAP,9350.0,59,3,2,30,0,7.7,443.59,6,15.87
house,ES,Sudeste,Vitória,Região Residencial,FipeZAP,14818.0,94,2,2,0,1,6.7,248.08,24,9.77
apartment,DF,Centro-Oeste,Brasília,Zona Norte,FipeZAP,10090.0,121,3,4,17,1,6.6,1602.45,11,9.02
apartment,MG,Sudeste,Belo Horizonte,Área Universitária,FipeZAP,10663.0,70,2,1,6,0,7.1,863.25,24,11.81
apartment,PA,Norte,Belém,Região Periférica,FipeZAP,8882.0,33,1,1,31,1,4.9,389.4,9,17.7
apartment,RJ,Sudeste,Rio de Janeiro,Região Residencial,FipeZAP,10939.0,86,2,3,29,1,8.2,1096.29,37,8.59
apartment,GO,Centro-Oeste,Goiânia,Zona Oeste,FipeZAP,8226.0,85,3,3,9,2,6.4,685.58,9,5.76
apartment,RN,Nordeste,Natal,Área Universitária,FipeZAP,6334.0,203,4,4,10,0,7.6,1735.83,32,2.14
apartment,RR,Norte,Boa Vista,Zona Oeste,estimated_regional_proxy,5300.0,121,3,4,11,2,7.0,1420.74,38,11.39
apartment,RN,Nordeste,Natal,Região Comercial,FipeZAP,6334.0,213,4,5,35,1,7.2,1289.12,2,4.86
house,AC,Norte,Rio Branco,Zona Oeste,estimated_regional_proxy,5200.0,118,3,2,0,0,7.4,617.57,7,18.03
house,AL,Nordeste,Maceió,Área Universitária,FipeZAP,9908.0,284,4,4,0,4,7.3,1603.85,0,6.06
house,PI,Nordeste,Teresina,Região Residencial,FipeZAP,5857.0,123,2,3,0,1,6.1,527.51,15,15.9
apartment,RR,Norte,Boa Vista,Região Periférica,estimated_regional_proxy,5300.0,194,4,4,15,1,4.3,1784.38,18,17.49
apartment,RR,Norte,Boa Vista,Região Residencial,estimated_regional_proxy,5300.0,158,4,3,6,1,8.7,1895.95,13,14.06
house,GO,Centro-Oeste,Goiânia,Centro,FipeZAP,8226.0,87,2,3,0,3,7.4,417.98,33,1.92
apartment,RJ,Sudeste,Rio de Janeiro,Região Residencial,FipeZAP,10939.0,79,3,2,30,1,8.6,964.09,35,3.84
house,AL,Nordeste,Maceió,Região Comercial,FipeZAP,9908.0,87,2,2,0,1,6.6,405.74,34,9.06
apartment,AM,Norte,Manaus,Área Nobre,FipeZAP,7513.0,76,2,3,9,1,10.0,720.41,24,5.45
apartment,SC,Sul,Florianópolis,Zona Oeste,FipeZAP,13208.0,86,3,4,3,2,8.2,1014.87,33,13.53
apartment,ES,Sudeste,Vitória,Zona Oeste,FipeZAP,14818.0,85,2,3,6,1,7.3,1046.14,33,19.81
apartment,RS,Sul,Porto Alegre,Área Universitária,FipeZAP,7579.0,46,2,3,21,2,6.9,656.63,23,11.33
apartment,AC,Norte,Rio Branco,Centro,estimated_regional_proxy,5200.0,115,2,3,28,1,9.1,1670.15,5,3.21
apartment,MA,Nordeste,São Luís,Região Residencial,FipeZAP,8627.0,144,4,5,31,1,6.3,1598.72,34,7.59
apartment,SE,Nordeste,Aracaju,Zona Leste,FipeZAP,5529.0,41,2,3,6,1,6.0,426.96,19,19.49
apartment,MT,Centro-Oeste,Cuiabá,Zona Oeste,FipeZAP,6931.0,144,3,4,20,3,6.5,1772.15,29,11.34
house,PA,Norte,Belém,Área Nobre,FipeZAP,8882.0,310,4,3,0,2,9.6,1532.62,13,2.81
apartment,PE,Nordeste,Recife,Zona Leste,FipeZAP,8615.0,66,3,4,30,3,5.4,808.85,19,16.08
apartment,AL,Nordeste,Maceió,Região Periférica,FipeZAP,9908.0,60,2,3,18,1,6.8,470.94,38,22.04
apartment,RO,Norte,Porto Velho,Região Periférica,estimated_regional_proxy,5600.0,33,1,1,29,0,5.0,271.83,35,11.17
apartment,PI,Nordeste,Teresina,Área Nobre,FipeZAP,5857.0,204,4,4,5,0,8.9,3163.29,38,2.57
apartment,MS,Centro-Oeste,Campo Grande,Região Residencial,FipeZAP,6839.0,134,3,2,18,0,8.4,1870.22,16,12.2
apartment,SP,Sudeste,São Paulo,Região Periférica,FipeZAP,12019.0,177,4,5,10,0,4.4,1503.37,14,19.66
apartment,GO,Centro-Oeste,Goiânia,Centro,FipeZAP,8226.0,35,1,1,15,3,7.4,669.15,38,3.01
