area_m2,bedrooms,bathrooms,floor,parking_spaces,neighborhood_score,condo_fee,age_years,distance_to_center_km
248,4,1,32,1,8.59,2131.27,10,17.17
107,2,4,14,3,9.93,1238.48,22,6.9
75,3,1,10,0,6.78,1678.4,1,19.13
204,2,3,16,0,9.86,814.1,8,0.94
146,3,2,21,1,9.8,470.86,3,15.62
168,3,4,33,0,9.67,932.42,15,19.74
86,4,4,33,3,7.69,1780.1,24,9.54
147,2,2,23,3,9.14,2267.08,20,11.79
205,3,1,34,2,7.94,2591.85,25,12.5
144,2,1,7,0,9.28,2537.98,14,4.67
244,3,3,0,3,7.05,511.83,2,15.07
236,3,2,23,2,9.05,2463.7,17,16.43
217,2,4,33,2,6.65,650.56,30,17.98
260,2,3,0,1,7.17,599.3,18,13.93
221,4,4,30,2,7.71,1148.92,25,3.27
107,4,4,26,3,6.6,1099.8,4,2.57
250,3,4,26,0,7.1,2427.61,9,7.93
207,2,4,10,0,8.86,1319.2,9,13.31
90,3,4,28,1,8.85,1100.37,8,5.03
132,4,4,23,2,9.35,1692.75,20,13.73
104,4,2,28,1,9.63,2663.6,32,11.06
273,2,2,33,3,7.03,1076.2,21,11.81
222,3,3,18,1,8.97,2385.56,1,12.39
263,4,4,34,2,6.62,2148.43,32,17.14
129,2,1,11,2,8.71,1525.85,3,19.98
203,4,4,19,1,6.07,2187.8,1,2.09
196,3,2,32,2,6.15,1593.16,2,17.62
228,4,2,2,3,9.34,2084.19,32,19.6
94,3,2,9,3,8.89,1247.17,23,5.55
178,3,1,2,3,7.2,1540.22,4,1.96
205,3,2,24,2,9.0,905.37,31,4.46
243,2,1,9,2,7.25,1156.71,25,7.76
207,4,4,5,2,8.23,2782.95,31,12.72
164,4,4,3,1,9.1,1832.93,15,10.85
166,4,3,25,3,6.77,1904.82,14,4.51
141,3,4,10,3,7.45,1182.7,34,2.05
103,4,1,32,1,7.41,1873.93,4,0.98
128,2,2,30,3,8.69,1017.29,7,14.27
100,3,4,11,2,6.87,1298.44,13,10.3
117,3,4,10,2,8.48,2749.65,1,6.02
249,3,2,30,1,9.02,2237.13,21,10.4
180,2,1,11,1,6.92,1436.62,19,4.27
89,2,1,20,3,7.46,1743.03,15,13.68
160,3,3,29,3,6.18,1144.37,26,7.6
126,4,3,30,1,8.15,2088.4,18,11.05
209,3,1,26,0,8.02,1100.75,28,6.79
244,2,3,21,0,8.74,2421.35,33,15.18
72,4,4,11,1,8.17,2671.27,31,18.28
167,4,2,8,2,9.46,2006.91,20,8.57
164,2,1,17,3,9.38,882.8,24,14.72
278,4,1,34,0,6.47,1450.25,13,7.0
146,2,3,19,2,8.36,1093.7,34,4.64
104,3,3,13,2,8.74,1282.75,9,2.76
111,2,2,25,0,7.85,789.17,1,13.57
170,4,3,5,3,7.1,1851.14,13,17.94
194,2,3,4,2,6.6,1178.74,12,6.58
138,2,4,12,0,9.01,799.03,18,9.22
161,4,4,26,3,6.07,2653.85,3,9.99
209,2,3,29,0,8.1,470.25,29,5.16
132,4,2,3,3,9.98,2796.54,25,17.53
272,4,2,4,0,8.88,649.55,32,12.56
113,3,4,20,1,6.67,1465.05,16,15.38
266,4,2,25,1,9.39,1565.74,8,11.66
253,2,2,33,0,8.63,2179.07,18,12.03
270,2,4,14,1,9.13,2594.76,0,14.24
237,2,2,6,1,7.07,1325.35,10,19.29
181,2,4,8,0,9.77,2093.98,7,16.14
197,4,1,27,0,8.71,459.5,30,13.53
113,3,2,23,0,6.94,458.5,7,15.93
142,2,1,13,0,7.38,1206.06,16,9.37
167,2,4,19,1,6.71,1325.13,28,18.51
268,2,1,8,1,6.04,1325.22,0,4.51
236,4,4,19,3,6.3,1407.46,6,11.56
188,4,4,17,3,6.61,1890.27,6,18.31
194,2,1,5,2,9.48,921.27,0,2.62
160,2,1,6,2,8.44,1312.12,21,4.63
158,3,4,28,2,7.78,1195.88,9,9.23
259,3,3,15,0,8.08,2782.25,22,18.2
70,2,3,4,2,9.77,805.42,26,7.96
137,3,3,20,3,7.57,525.54,27,9.17
155,3,4,17,2,7.61,849.86,11,2.47
216,4,3,26,1,6.71,2138.87,7,19.53
156,3,4,5,3,6.59,805.05,34,15.54
135,3,2,28,0,6.09,1815.5,4,12.57
86,3,1,31,2,8.22,2027.87,24,13.39
124,4,1,31,2,8.28,1064.14,15,12.94
92,2,4,5,1,8.11,2379.26,33,16.55
217,3,1,17,0,8.95,2678.03,2,9.22
159,4,1,12,0,6.59,1014.13,14,18.46
117,2,3,32,0,8.31,1223.8,22,5.33
183,4,1,31,1,9.78,1711.44,12,4.48
173,2,4,31,3,8.42,1201.86,29,17.08
169,2,2,30,2,9.11,2498.56,31,7.71
191,4,2,17,1,8.03,2773.55,14,6.31
201,4,2,0,2,6.44,1535.13,13,3.22
109,2,2,3,2,9.94,2053.39,1,16.61
102,4,3,7,2,7.39,531.47,25,16.96
223,3,4,12,1,6.69,2050.07,32,13.79
274,2,1,18,2,8.29,840.28,6,16.39
185,3,1,26,3,6.48,1389.98,33,17.18
164,3,3,8,1,7.49,2796.95,11,1.26
200,4,3,19,0,8.19,869.38,12,11.28
77,2,2,16,3,6.03,2355.7,5,15.99
148,2,4,6,3,9.55,558.8,26,17.17
145,4,2,8,3,6.97,2416.83,30,13.3
158,2,2,30,2,8.29,620.09,6,8.09
226,2,4,16,2,8.69,424.93,11,14.55
173,3,2,22,3,7.63,625.06,27,14.35
249,2,4,12,2,9.64,2125.76,8,3.86
168,2,2,4,0,9.12,1249.72,3,5.42
77,3,3,9,1,8.65,772.8,34,9.3
211,2,3,28,1,8.36,2198.93,24,18.0
237,3,4,30,0,9.2,1980.95,33,7.32
191,4,4,18,0,6.37,619.44,9,9.38
